timestamp,facility_name,practitioner_name,practitioner_title,address,address_2,city,zip,phone_number,email,website,facility_type,staff_mask,mask_required,mask_enforced,all_mask,all_mask_required,all_mask_enforced,patients_mask,patients_mask_required,patients_mask_enforced,mask_request,elevator,hepa,hepa_on,co2,co2_reading,co2_location,comments,mask_type,ada_request,KN95,N95,surgical,none,unknown
2024-02-20,Silvestre Eye Care,Dr. Mary Elaine H. Silvestre,Optometrist,6023 W Belmont Ave,,Chicago,60634.0,(773) 237-4332,silvestreyecare@gmail.com,http://silvestreyecare.com/,Optometrist,Yes,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,Not Applicable - No Mask Requirement Requested,No,Yes,Yes they appeared to be functioning correctly,No,,,,Respirators - N95s or better,,False,True,False,False,False
2024-04-24,Molar City ,Dr. Ng,,4620 N Western Ave ,,Chicago ,60625.0,708-552-0275,,https://molarcitychicago.com/,Dentist,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Medical Staff  - everywhere,No,Yes,Yes they appeared to be functioning correctly,No,,,There was one time where a patient wasn't masking in a common area and the staff was flustered by the person and trying to usher them out and apologized. ,"Respirators - N95s or better, KN95s - better than surgical/proceedure but don't appear to be N95 quality, Proceedure/Surgical - ""baggy blues""",,True,True,True,False,False
2024-04-25,Naper West Dental,Stephen Law,Dentist,4050 Healthway Drive,Suite 240,Aurora,60504.0,(630) 692-7900,,,Dentist,Yes,Maybe/Unknown,Maybe/Unknown/Not Applicable,Yes,Maybe/Unknown,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,"Medical Staff - patient facing only, Medical Staff - in treatment room/spaces only, All Staff - patient facing only, All Staff - in treatment rooms/spaces only",Maybe/Unknown,Yes,Maybe/Unknown/Not Applicable,,,,,"Respirators - N95s or better, Proceedure/Surgical - ""baggy blues""",,False,True,True,False,False
2024-05-05,Lurie Children's Hospital Outpatient Center in New Lenox,Eric B. Fuller,"MD, Spine Surgeon",1870 Silver Cross Blvd,,New Lenox,60451.0,312-227-6190,,,Hospital,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,Medical Staff - patient facing only,No,No,Maybe/Unknown/Not Applicable,No,,,"Called the office and requested the Doctor mask, the administrator told the doctor staff, and request was met. I was asked if I had covid or if it proactive, but still was met with no pushback. All patient facing medical staff wore surgical masks properly (covering mouth and nose) 

There was zero pushback from any medical staff. ","Proceedure/Surgical - ""baggy blues""",,False,False,True,False,False
2024-05-13,Northwestern Medicine Dermatology Bucktown,Dr. Vinesh Melvani,Dermatology,1776 N Milwaukee Ave,,Chicago,60647.0,,,,"Speciality Treatment Center (dialysis, chemotherapy, etc.)",Yes,No,No,No,No,No,No,No,No,Not Applicable - No Mask Requirement Requested,No,No,Maybe/Unknown/Not Applicable,No,,,Dr. Melvani was wearing an N95 mask. If you go for the first appointment of the day (7:30am) the waiting room is very empty.,"Respirators - N95s or better, Proceedure/Surgical - ""baggy blues"", Not Applicable - no masks",,False,True,True,True,False
2024-06-12,Franciscan Health ,,,,,Chesterton,46304.0,,,,Emergency room/urgent care,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,No - my request was denied,No,Maybe/Unknown,Maybe/Unknown/Not Applicable,Yes,900-1440,Patient room,,Not Applicable - no masks,"Yes, but it's a hassle to work with staff",False,False,False,True,False
2024-06-14,NorthShore Medical Group - Vernon Hills,,,225 N Milwaukee Ave,,Vernon Hills,60061.0,,,,"Clinic (""regular"" doctor office) - any speciality, adult or pediatric",No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,"Not Applicable - Mask Requirement(s) in place, Not Applicable - No Mask Requirement Requested",Maybe/Unknown,Maybe/Unknown,Maybe/Unknown/Not Applicable,No,,,,Not Applicable - no masks,,False,False,False,True,False
2024-06-14,Endeavor Health Immediate Care - Skokie Commons,Joel Anthony Barredo,DO,3304 West Touhy Avenue,,Skokie,60076.0,2243642273,,https://www.endeavorhealth.org/locations/immediate-care-skokie-commons,"Clinic (""regular"" doctor office) - any speciality, adult or pediatric",Yes,Maybe/Unknown,Maybe/Unknown/Not Applicable,Yes,Maybe/Unknown,Maybe/Unknown/Not Applicable,No,No,No,"Request wasn't made, but medical staff masked when they saw masked patient, Request wasn't made, but staff masked when they saw masked patient",No,Yes,Maybe/Unknown/Not Applicable,No,,,,"Proceedure/Surgical - ""baggy blues""",No,False,False,True,False,False
2024-06-14,Rush Copley ,,,,,Aurora ,60503.0,,,,"Clinic (""regular"" doctor office) - any speciality, adult or pediatric",No,No,No,No,No,No,No,No,No,Not Applicable - No Mask Requirement Requested,Maybe/Unknown,No,Maybe/Unknown/Not Applicable,No,,,,"Proceedure/Surgical - ""baggy blues""","Yes, but it's a hassle to work with staff",False,False,True,False,False
2024-06-14,Northwestern Memorial Hospital - multiple departments,,,,,Chicago & Evanston,,,,,Hospital,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,No,No,Maybe/Unknown/Not Applicable,No - my request was denied,Yes,Maybe/Unknown,Maybe/Unknown/Not Applicable,No,,,"Overall, I have found NWMH to be quite terrible with COVID precautions. I'll list my relevant experiences. (1) No hospital-wide mandate for either staff or patients. (2) Almost nobody masks, neither staff nor patients, as of summer 2024. (3) For in-person appointments, when I check in, I am sometimes (but not always) asked if I have a preference for my provider to be masked vs unmasked. I always say masked. This request has virtually never been honored. It got to the point where I had to finally tell the receptionist that I am high risk, that my provider has not once worn a mask for me, and I NEED them to do something about it. That day he FINALLY wore a mask...but it was a surgical mask. This was in the dermatology department. (4) I had a PCP appointment in December 2023. She came into my room wearing a surgical mask. Then, WHILE ALREADY REMOVING HER MASK, she asked, ""Do you mind if I take this off?"" This was Dr. Rebecca Weiss-Coleman in internal medicine. She also did not seem to believe that I had long COVID, minimized my fears about contracting COVID again, and recommended that I exercise as much as I can despite my reporting clear symptoms of ME/CFS triggered by COVID. (5) The only department in which I have encountered a mask requirement is the infectious diseases department of the long COVID clinic. This does NOT include the entire long COVID clinic...literally just the infectious diseases department. All clinical staff, non-clinical staff, and patients are required to wear masks. However, they were once again all surgical masks. (6) Many clinical staff in other departments of the long COVID clinic did wear surgical masks, even without a requirement to do so. (7) I have not seen a single N95, KN95, or other similar high-quality respirator for the entire duration of the pandemic at NWMH. Maybe a patient here or there will be wearing one, but not one single staff member.","Proceedure/Surgical - ""baggy blues"", Not Applicable - no masks",,False,False,True,True,False
2024-06-14,Molar City,,,4620 N Western Ave ,,Chicago,60625.0,,,https://molarcitychicago.com/,Dentist,Yes,Yes,Yes,No,No,No,No,No,No,Not Applicable - Mask Requirement(s) in place,No,Yes,Yes they appeared to be functioning correctly,No,,,"Molar City goes above and beyond to keep patients safe. All clinical staff are required to wear N95s, and this is enforced. The front desk staff sometimes do and sometimes don't wear masks, and they tend to be surgical masks. However, there are only 2 front desk staff present at a time, and there is an air purifier in the lobby. Patients are not required to mask in the waiting room. I have only ever encountered 2 other people max at a time in the waiting area. Each patient gets dental work done in their own room. The rooms do not have doors; however, each individual room has an industrial air purifier positioned in the doorway. They also allowed me to hold my personal air purifier on my lap the entire time as an extra precaution. They will also go out of their way to schedule you first thing in the morning if you want, to avoid any aerosol buildup throughout the day. Molar City has a lot of COVID cautious patients, and they are very used to treating patients with a lot of anxiety around COVID. They have been extremely understanding and not at all condescending. They're also just a great dentist, period.","Respirators - N95s or better, KN95s - better than surgical/proceedure but don't appear to be N95 quality, Proceedure/Surgical - ""baggy blues""",,True,True,True,False,False
2024-06-14,Northwestern memorial,,Gastroenterologist ,616 saint claire,,Chicago,60011.0,,,,Hospital,No,No,No,No,No,No,No,No,No,Not Applicable - No Mask Requirement Requested,Yes,No,No,No,850,My consult room,I felt really unsafe being the only one masked,Not Applicable - no masks,,False,False,False,True,False
